,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,47.0,45.699937720602456,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
1,52.0,45.76593953551418,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
2,44.0,44.790368868765405,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
3,37.0,45.303926831132095,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
4,67.0,44.75736796130954,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
5,69.0,45.96394498024936,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
6,24.0,45.07292047894105,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
7,42.0,44.22935344201573,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
8,24.0,45.43593046095555,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
9,57.0,45.567934090779,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
10,67.0,45.60093499823486,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
11,54.0,45.53493318332313,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
12,49.0,44.196352534559864,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
13,46.0,45.76593953551418,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
14,24.0,45.33692773858796,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
15,63.0,45.60093499823486,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
16,49.0,44.526361609118496,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
17,64.0,45.99694588770522,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
18,24.0,45.501932275867276,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
19,34.0,45.699937720602456,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
20,47.0,45.99694588770522,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
21,31.0,45.46893136841141,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
22,42.0,45.43593046095555,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
23,65.0,46.02994679516109,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
24,42.0,44.32835616438332,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
25,45.0,45.66693681314659,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
26,62.0,45.930944072793494,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
27,67.0,44.09734981219228,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
28,41.0,45.66693681314659,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
29,38.0,44.724367053853676,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
30,48.0,45.699937720602456,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
31,50.0,45.33692773858796,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
32,35.0,44.09734981219228,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
33,52.0,45.237925016220366,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
34,37.0,45.53493318332313,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
35,46.0,44.163351627104,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
36,34.0,45.96394498024936,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
37,27.0,45.36992864604382,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
38,42.0,43.96534618236882,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
39,42.0,45.303926831132095,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
40,38.0,45.36992864604382,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
41,54.0,44.26235434947159,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
42,36.0,44.42735888675091,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
43,62.0,45.699937720602456,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
44,38.0,45.89794316533764,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
45,43.0,44.55936251657436,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
46,46.0,45.63393590569073,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
47,40.0,45.237925016220366,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
48,46.0,44.22935344201573,abcd-ml,baseline,overall,id,0,s013,41284804,108,out/abcd-ml_baseline_overall_id_0_s013_41284804_108.pkl
