,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,66.0,47.190873585586544,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
1,60.0,43.5380691871612,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
2,43.0,47.71531041405883,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
3,74.0,43.77487207576996,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
4,50.0,47.36568586174398,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
5,51.0,43.61700348336412,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
6,56.0,47.59876889662054,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
7,49.0,43.72224921163468,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
8,50.0,47.959749441471935,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
9,63.0,45.130257537815034,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
10,50.0,47.51136275854183,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
11,49.0,43.68278206353322,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
12,34.0,47.75580178595494,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
13,34.0,45.038167525578295,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
14,50.0,47.16173820622697,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
15,60.0,43.52491347112738,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
16,43.0,47.51136275854183,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
17,41.0,43.68278206353322,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
18,54.0,48.33850937314636,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
19,67.0,45.301281846254696,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
20,50.0,47.190873585586544,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
21,49.0,43.5380691871612,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
22,41.0,48.33850937314636,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
23,54.0,45.301281846254696,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
24,53.0,47.36568586174398,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
25,54.0,43.61700348336412,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
26,39.0,47.569633517260975,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
27,34.0,43.70909349560086,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
28,44.0,47.87234330339322,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
29,34.0,45.090790389713575,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
30,48.0,48.105426338269794,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
31,33.0,45.196036117984136,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
32,33.0,47.65703965533969,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
33,41.0,43.74856064370232,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
34,34.0,47.84320792403365,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
35,34.0,45.07763467367975,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
36,68.0,47.68617503469926,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
37,72.0,43.76171635973614,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
38,33.0,47.3365504823844,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
39,49.0,43.6038477673303,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
40,50.0,47.63926026851665,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
41,54.0,44.985544661443015,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
42,52.0,48.13456171762936,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
43,46.0,45.20919183401796,abcd-ml,baseline,scale,id,0,s018,41284804,72,out/abcd-ml_baseline_scale_id_0_s018_41284804_72.pkl
