,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,57.0,45.06128482915739,abcd-ml,fbmin,overall,daily,14,s004,41284804,83,out/abcd-ml_fbmin_overall_daily_14_s004_41284804_83.pkl
1,57.0,44.76807538726158,abcd-ml,fbmin,overall,daily,14,s004,41284804,83,out/abcd-ml_fbmin_overall_daily_14_s004_41284804_83.pkl
2,57.0,44.878625493336635,abcd-ml,fbmin,overall,daily,14,s004,41284804,83,out/abcd-ml_fbmin_overall_daily_14_s004_41284804_83.pkl
3,57.0,44.57997520677567,abcd-ml,fbmin,overall,daily,14,s004,41284804,83,out/abcd-ml_fbmin_overall_daily_14_s004_41284804_83.pkl
4,57.0,44.73562535612513,abcd-ml,fbmin,overall,daily,14,s004,41284804,83,out/abcd-ml_fbmin_overall_daily_14_s004_41284804_83.pkl
5,57.0,44.784025402565945,abcd-ml,fbmin,overall,daily,14,s004,41284804,83,out/abcd-ml_fbmin_overall_daily_14_s004_41284804_83.pkl
6,57.0,44.69877532076677,abcd-ml,fbmin,overall,daily,14,s004,41284804,83,out/abcd-ml_fbmin_overall_daily_14_s004_41284804_83.pkl
7,57.0,44.71032533184924,abcd-ml,fbmin,overall,daily,14,s004,41284804,83,out/abcd-ml_fbmin_overall_daily_14_s004_41284804_83.pkl
8,57.0,44.797586043006284,abcd-ml,fbmin,overall,daily,14,s004,41284804,83,out/abcd-ml_fbmin_overall_daily_14_s004_41284804_83.pkl
9,57.0,45.09239922115427,abcd-ml,fbmin,overall,daily,14,s004,41284804,83,out/abcd-ml_fbmin_overall_daily_14_s004_41284804_83.pkl
10,57.0,45.54899329614971,abcd-ml,fbmin,overall,daily,14,s004,41284804,83,out/abcd-ml_fbmin_overall_daily_14_s004_41284804_83.pkl
11,57.0,45.54097656486552,abcd-ml,fbmin,overall,daily,14,s004,41284804,83,out/abcd-ml_fbmin_overall_daily_14_s004_41284804_83.pkl
12,57.0,46.06152351218286,abcd-ml,fbmin,overall,daily,14,s004,41284804,83,out/abcd-ml_fbmin_overall_daily_14_s004_41284804_83.pkl
13,57.0,45.686399557603764,abcd-ml,fbmin,overall,daily,14,s004,41284804,83,out/abcd-ml_fbmin_overall_daily_14_s004_41284804_83.pkl
14,47.0,46.211975910981,abcd-ml,fbmin,overall,daily,14,s004,41284804,83,out/abcd-ml_fbmin_overall_daily_14_s004_41284804_83.pkl
15,47.0,45.52498024638436,abcd-ml,fbmin,overall,daily,14,s004,41284804,83,out/abcd-ml_fbmin_overall_daily_14_s004_41284804_83.pkl
16,47.0,45.514339645354255,abcd-ml,fbmin,overall,daily,14,s004,41284804,83,out/abcd-ml_fbmin_overall_daily_14_s004_41284804_83.pkl
17,47.0,45.62615878822518,abcd-ml,fbmin,overall,daily,14,s004,41284804,83,out/abcd-ml_fbmin_overall_daily_14_s004_41284804_83.pkl
18,47.0,45.63304443011113,abcd-ml,fbmin,overall,daily,14,s004,41284804,83,out/abcd-ml_fbmin_overall_daily_14_s004_41284804_83.pkl
