,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,48.0,45.490109768043375,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
1,48.0,45.86464712635362,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
2,48.0,45.86464712635362,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
3,47.0,45.987559530856835,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
4,47.0,45.987559530856835,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
5,47.0,47.24800752442789,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
6,26.0,41.589422961766616,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
7,26.0,41.589422961766616,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
8,26.0,42.8180465432061,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
9,61.0,46.4379178655542,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
10,61.0,46.06801386676841,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
11,48.0,43.766168099820746,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
12,48.0,43.766168099820746,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
13,48.0,44.35881658486565,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
14,35.0,45.1979256698675,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
15,35.0,45.16462102914113,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
16,35.0,45.16462102914113,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
17,45.0,44.5218844329375,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
18,45.0,44.5218844329375,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
19,45.0,43.399804191933654,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
20,45.0,43.399804191933654,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
21,42.0,43.95735968555069,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
22,42.0,43.95735968555069,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
23,42.0,44.083939750058654,abcd-ml,fbmin,overall,weekly,2,s014,41284804,98,out/abcd-ml_fbmin_overall_weekly_2_s014_41284804_98.pkl
