,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,43.0,48.35321261789815,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
1,44.0,44.450840441491884,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
2,43.0,48.32701120645368,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
3,44.0,44.729221933980554,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
4,43.0,48.21240273248816,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
5,44.0,44.929252608844074,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
6,43.0,48.160830034773966,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
7,44.0,44.915796378414456,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
8,43.0,48.101997995265044,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
9,44.0,44.9830180571707,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
10,43.0,48.13404039208551,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
11,44.0,44.84011691025665,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
12,43.0,48.506273800787575,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
13,44.0,44.78994401560331,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
14,34.0,47.51560097144965,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
15,34.0,44.64316912340178,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
16,34.0,47.53133954248467,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
17,34.0,44.142821169462756,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
18,34.0,47.5428407703149,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
19,34.0,44.04460023976393,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
20,34.0,47.657035699350836,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
21,34.0,44.1817776716539,abcd-ml,fbmin,scale,daily,7,s006,41284804,46,out/abcd-ml_fbmin_scale_daily_7_s006_41284804_46.pkl
