,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,34.0,47.674150598465985,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
1,34.0,44.57232094333361,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
2,34.0,47.77404857387689,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
3,34.0,44.29068524183717,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
4,34.0,47.618627280288216,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
5,34.0,44.477541524863895,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
6,34.0,47.63270619102331,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
7,34.0,44.43784979052319,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
8,34.0,47.819718891296446,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
9,34.0,44.27468440150418,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
10,34.0,47.74994912003541,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
11,34.0,44.47138166580331,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
12,50.0,48.57115662329316,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
13,34.0,45.36204654972792,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
14,50.0,48.615451961323515,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
15,34.0,45.23716765655829,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
16,50.0,48.231042301486575,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
17,34.0,44.86534169044685,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
18,50.0,48.23208624249065,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
19,34.0,44.8623985771776,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
20,50.0,48.49183816425251,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
21,34.0,45.19340508759335,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
22,50.0,48.54076521741572,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
23,34.0,45.05546830876381,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
24,50.0,48.57483666418001,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
25,51.0,45.15034280859969,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
26,50.0,49.02748220440871,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
27,51.0,45.19985622203894,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
28,50.0,49.06058062066965,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
29,51.0,45.10654406387229,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
30,50.0,49.28107456424857,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
31,51.0,45.24450782647112,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
32,50.0,49.25498988804595,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
33,51.0,45.3180466149242,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
34,40.0,48.395293222835576,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
35,51.0,45.06473009252684,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
36,40.0,48.4194957395039,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
37,51.0,44.99649755095805,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
38,40.0,47.995991330772014,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
39,51.0,45.0035096402443,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
40,40.0,47.97694986810887,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
41,51.0,45.05719196636348,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
42,40.0,47.727962449536825,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
43,51.0,44.89133651207085,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
44,41.0,45.46844756147527,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
45,33.0,42.81312164498649,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
46,41.0,45.384532613471066,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
47,33.0,43.0496974629647,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
48,41.0,47.05607254842758,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
49,33.0,42.98543408411288,abcd-ml,fbmin,scale,weekly,3,s014,41284804,63,out/abcd-ml_fbmin_scale_weekly_3_s014_41284804_63.pkl
