,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,50.0,53.3820406461464,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
1,52.0,53.78124591978524,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
2,50.0,54.843077146291066,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
3,50.0,52.69007754402193,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
4,51.0,53.863182971197766,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
5,53.0,53.66906445104805,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
6,50.0,52.32425865761474,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
7,50.0,52.497705745690986,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
8,50.0,53.35859155100322,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
9,52.0,53.77261129794913,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
10,50.0,54.841447033022625,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
11,50.0,52.6974330276221,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
12,51.0,53.86994124498707,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
13,53.0,53.68480979366846,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
14,50.0,52.34868202244762,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
15,50.0,52.50326061225606,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
16,50.0,52.76815627135493,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
17,54.0,53.008938840788524,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
18,61.0,54.19015695481523,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
19,54.0,52.19705546114382,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
20,55.0,53.18021443401207,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
21,62.0,52.94434444396907,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
22,50.0,51.722258842231106,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
23,60.0,51.92535520827221,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
24,50.0,52.86588143069553,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
25,54.0,53.044924015893436,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
26,61.0,54.19695052522504,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
27,54.0,52.16640115220505,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
28,55.0,53.15204902383763,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
29,62.0,52.87872501997611,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
30,50.0,51.62047337011148,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
31,60.0,51.90220505186437,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
32,50.0,53.02043918863714,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
33,50.0,53.27694801979704,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
34,50.0,54.53510585683588,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
35,50.0,52.526544484077434,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
36,51.0,53.578403019798166,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
37,50.0,53.37355233566335,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
38,50.0,51.991501120597455,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
39,50.0,52.20391170208433,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
40,50.0,53.11274999513642,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
41,50.0,53.310939476637486,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
42,50.0,54.54152303709704,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
43,50.0,52.49758854274247,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
44,51.0,53.55179808258313,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
45,50.0,53.31156848225568,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
46,50.0,51.895354958394485,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
47,50.0,52.182044154126245,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
48,66.0,53.67266628456574,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
49,52.0,53.95765907384112,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
50,53.0,55.1222112424567,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
51,62.0,52.94801709509241,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
52,75.0,54.1495596714845,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
53,51.0,53.92635228881212,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
54,55.0,52.346010520651504,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
55,52.0,52.65689702607766,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
56,66.0,53.541795045190696,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
57,52.0,53.90946857206159,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
58,53.0,55.11311345243709,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
59,62.0,52.98906862603974,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
60,75.0,54.18727812763139,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
61,51.0,54.01422828106408,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
62,55.0,52.482319235587866,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
63,52.0,52.68789917210907,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
64,65.0,54.01219622476816,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
65,66.0,54.766451201322184,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
66,57.0,55.7283435378273,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
67,64.0,53.503383150525316,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
68,54.0,54.61630173593283,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
69,52.0,54.356735364427635,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
70,68.0,52.81155950820533,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
71,79.0,52.95103522546851,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
72,65.0,53.98074051017913,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
73,66.0,54.754868315142474,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
74,57.0,55.72615682753393,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
75,64.0,53.51325014076006,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
76,54.0,54.62536760095376,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
77,52.0,54.37785690453611,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
78,68.0,52.84432215379125,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
79,79.0,52.958486783670814,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
80,51.0,53.47985536316517,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
81,50.0,53.83631513296549,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
82,50.0,55.05117228694243,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
83,50.0,52.943222191620656,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
84,50.0,54.12417355238584,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
85,50.0,53.94921364499613,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
86,52.0,52.43181549507384,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
87,56.0,52.63582841807354,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
88,51.0,53.49552692998678,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
89,50.0,53.84208584830685,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
90,50.0,55.05226172893826,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
91,50.0,52.93830635363025,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
92,50.0,54.11965684337677,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
93,50.0,53.938690672254616,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
94,52.0,52.4154928015264,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
95,56.0,52.632115973647515,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
96,66.0,52.881452208002244,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
97,57.0,52.856293415812026,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
98,70.0,54.13455910928091,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
99,70.0,52.09199090647821,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
100,67.0,53.24437054064279,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
101,59.0,53.05555173874699,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
102,60.0,51.71522142118306,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
103,66.0,52.03942023702589,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
104,66.0,52.83418615131058,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
105,57.0,52.83888871329688,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
106,70.0,54.131273309735576,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
107,70.0,52.10681726556445,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
108,67.0,53.257993111156175,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
109,59.0,53.0872894349089,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
110,60.0,51.76445130147239,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
111,66.0,52.050617114192185,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
112,51.0,53.37999336954369,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
113,56.0,53.531036208641005,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
114,53.0,54.94244082307173,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
115,51.0,52.882411327410196,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
116,50.0,54.17352484829761,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
117,50.0,54.08195063958444,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
118,50.0,52.465927921053805,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
119,52.0,52.7002317238762,abcd-ml,fbmin,subscale,id,0,s002,41284804,34,out/abcd-ml_fbmin_subscale_id_0_s002_41284804_34.pkl
