,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,60.0,53.903601721346554,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
1,57.0,54.45282433597013,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
2,54.0,55.319057250569124,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
3,61.0,52.847634589121505,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
4,51.0,53.70441092808882,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
5,57.0,53.32206947795398,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
6,54.0,52.07748138245927,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
7,57.0,52.196855375968866,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
8,60.0,53.27593766297283,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
9,57.0,53.35062549005864,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
10,54.0,54.543008652110984,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
11,61.0,52.44237504346208,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
12,51.0,53.43826475957164,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
13,57.0,53.26075135715357,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
14,54.0,51.83395319966367,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
15,57.0,52.12772022928389,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
16,60.0,53.241645961722796,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
17,57.0,53.3519386897992,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
18,54.0,54.554625354582676,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
19,61.0,52.46644037980012,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
20,51.0,53.47311382173554,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
21,57.0,53.30248264251163,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
22,54.0,51.874743692221195,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
23,57.0,52.15319826142152,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
24,60.0,53.49653510440203,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
25,57.0,53.777287859093775,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
26,54.0,54.894419616111215,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
27,61.0,52.73319813067439,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
28,51.0,53.722931171151096,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
29,57.0,53.53427112523761,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
30,54.0,52.08250104753183,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
31,57.0,52.309170634825364,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
32,60.0,53.25749011463046,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
33,57.0,53.40673600386084,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
34,54.0,54.61639512662945,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
35,61.0,52.54671682070189,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
36,51.0,53.56832039410148,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
37,57.0,53.41726203835926,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
38,54.0,51.95838693327376,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
39,57.0,52.225760219105325,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
40,60.0,53.21102374915061,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
41,57.0,53.40851543202766,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
42,54.0,54.63213613460057,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
43,61.0,52.579326130619926,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
44,51.0,53.61554200166568,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
45,57.0,53.47380928118203,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
46,54.0,52.01365937139112,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
47,57.0,52.26028377757164,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
48,51.0,53.349372249520044,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
49,54.0,53.64906749460037,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
50,53.0,54.83333931640576,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
51,51.0,52.75635829759936,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
52,50.0,53.802595842756986,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
53,51.0,53.68397455287042,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
54,50.0,52.187402849857314,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
55,54.0,52.40225000465998,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
56,51.0,53.55777700166024,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
57,54.0,54.02237889305641,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
58,53.0,55.1026537563659,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
59,51.0,52.91040906491544,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
60,50.0,53.91562109845273,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
61,51.0,53.73595109216724,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
62,50.0,52.28981558169645,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
63,54.0,52.444974950365804,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
64,51.0,53.60421235397359,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
65,54.0,54.02060065253794,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
66,53.0,55.086923254456444,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
67,51.0,52.877821519513475,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
68,50.0,53.86843100812821,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
69,51.0,53.679441590817014,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
70,50.0,52.23458003420543,abcd-ml,fbmin,subscale,weekly,3,s012,41284804,27,out/abcd-ml_fbmin_subscale_weekly_3_s012_41284804_27.pkl
