,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,47.0,43.57728489795904,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
1,47.0,44.162295529013655,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
2,47.0,44.36828899278151,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
3,47.0,44.124192758351214,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
4,47.0,43.6114082398911,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
5,47.0,44.40793593158303,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
6,47.0,44.41781458673144,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
7,45.0,47.62388754596911,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
8,45.0,46.698697246784654,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
9,45.0,46.85250629605062,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
10,45.0,46.64151321366964,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
11,45.0,46.354637406927104,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
12,45.0,46.05100939966314,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
13,45.0,45.90108746378235,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
14,52.0,47.417492833207696,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
15,52.0,46.93259200910321,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
16,52.0,46.62640923276254,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
17,52.0,46.16854638138648,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
18,52.0,45.7666755522748,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
19,52.0,45.37294978500947,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
20,52.0,44.989351852298206,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
21,44.0,44.89583599739787,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
22,44.0,45.32545605547236,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
23,44.0,45.36931879268742,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
24,44.0,45.46436815318926,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
25,44.0,45.312566422483556,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
26,44.0,45.45971482379956,abcd-ml,fbminpa,overall,daily,7,s009,41284804,85,out/abcd-ml_fbminpa_overall_daily_7_s009_41284804_85.pkl
