,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,44.0,45.156259264399495,abcd-ml,fbminpa,overall,id,0,s002,41284804,107,out/abcd-ml_fbminpa_overall_id_0_s002_41284804_107.pkl
1,37.0,44.30641317262347,abcd-ml,fbminpa,overall,id,0,s002,41284804,107,out/abcd-ml_fbminpa_overall_id_0_s002_41284804_107.pkl
2,57.0,45.16323421297876,abcd-ml,fbminpa,overall,id,0,s002,41284804,107,out/abcd-ml_fbminpa_overall_id_0_s002_41284804_107.pkl
3,57.0,44.7255802091303,abcd-ml,fbminpa,overall,id,0,s002,41284804,107,out/abcd-ml_fbminpa_overall_id_0_s002_41284804_107.pkl
4,47.0,46.3005823881596,abcd-ml,fbminpa,overall,id,0,s002,41284804,107,out/abcd-ml_fbminpa_overall_id_0_s002_41284804_107.pkl
5,58.0,45.54850343941217,abcd-ml,fbminpa,overall,id,0,s002,41284804,107,out/abcd-ml_fbminpa_overall_id_0_s002_41284804_107.pkl
6,60.0,44.57802014830055,abcd-ml,fbminpa,overall,id,0,s002,41284804,107,out/abcd-ml_fbminpa_overall_id_0_s002_41284804_107.pkl
7,48.0,46.34579036225274,abcd-ml,fbminpa,overall,id,0,s002,41284804,107,out/abcd-ml_fbminpa_overall_id_0_s002_41284804_107.pkl
8,53.0,44.608037721928845,abcd-ml,fbminpa,overall,id,0,s002,41284804,107,out/abcd-ml_fbminpa_overall_id_0_s002_41284804_107.pkl
9,31.0,45.10632549810093,abcd-ml,fbminpa,overall,id,0,s002,41284804,107,out/abcd-ml_fbminpa_overall_id_0_s002_41284804_107.pkl
10,45.0,46.2702393233952,abcd-ml,fbminpa,overall,id,0,s002,41284804,107,out/abcd-ml_fbminpa_overall_id_0_s002_41284804_107.pkl
11,46.0,46.79303462107983,abcd-ml,fbminpa,overall,id,0,s002,41284804,107,out/abcd-ml_fbminpa_overall_id_0_s002_41284804_107.pkl
12,53.0,45.36229790776734,abcd-ml,fbminpa,overall,id,0,s002,41284804,107,out/abcd-ml_fbminpa_overall_id_0_s002_41284804_107.pkl
13,35.0,45.697389226265116,abcd-ml,fbminpa,overall,id,0,s002,41284804,107,out/abcd-ml_fbminpa_overall_id_0_s002_41284804_107.pkl
