,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,45.0,46.75343534752539,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
1,52.0,45.88025398420007,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
2,37.0,44.249704785032094,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
3,60.0,45.09986468950441,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
4,24.0,47.2198634264587,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
5,31.0,44.48382850648555,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
6,46.0,46.189126333861864,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
7,24.0,43.75618495473923,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
8,53.0,45.08740923349496,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
9,53.0,44.77126406699819,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
10,64.0,46.660694220390255,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
11,64.0,45.760619546960804,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
12,42.0,42.7120436630812,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
13,51.0,45.37806595009633,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
14,60.0,45.8921918600473,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
15,44.0,43.41289612942645,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
16,42.0,45.33158614255793,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
17,42.0,44.77126406699819,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
18,50.0,45.16067997102305,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
19,49.0,44.97247948608761,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
20,46.0,44.171551949418934,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
21,49.0,42.46428565034668,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
22,66.0,43.23206028563784,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
23,63.0,43.765525878886685,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
24,38.0,44.52046811781105,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
25,35.0,45.88788482266372,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
26,70.0,46.908285547247644,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
27,41.0,43.97400286778769,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
28,48.0,45.3240742521036,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
29,36.0,46.573874208010864,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
30,35.0,47.99742613699784,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
31,27.0,47.47125141318354,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
32,42.0,45.11596446819758,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
33,50.0,44.38319740501743,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
34,38.0,45.00010554934556,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
35,62.0,46.52019655267058,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
36,52.0,46.675897429435665,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
37,31.0,45.46668942606556,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
38,40.0,44.05432497953865,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
39,45.0,46.01717747161114,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
40,32.0,44.615518390666,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
41,38.0,45.875725750736414,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
42,48.0,43.552506906373985,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
43,38.0,45.25930660624722,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
44,34.0,44.994143422208616,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
45,34.0,43.03052860276763,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
46,42.0,45.47048812716509,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
47,62.0,43.417623326624756,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
48,67.0,45.08459630858647,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
49,74.0,43.33142913568564,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
50,45.0,46.214099596460976,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
51,59.0,48.03553861858196,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
52,34.0,44.897979827118206,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
53,24.0,46.0001992489469,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
54,49.0,43.93164117121249,abcd-ml,fbminpa,overall,weekly,1,s010,41284804,100,out/abcd-ml_fbminpa_overall_weekly_1_s010_41284804_100.pkl
