,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,34.0,49.865490010243576,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
1,46.0,45.87734024145939,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
2,34.0,48.79031690329092,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
3,46.0,45.434691387669936,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
4,34.0,48.89724139030902,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
5,46.0,45.58705343115178,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
6,34.0,49.100229247619396,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
7,46.0,45.6345627474019,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
8,34.0,49.13706787152581,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
9,46.0,45.77052119177513,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
10,34.0,49.74704870882176,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
11,46.0,46.10429177595243,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
12,34.0,49.26897765113357,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
13,46.0,45.92873104400264,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
14,65.0,49.02571576654299,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
15,74.0,45.21332507854548,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
16,65.0,48.93830048460297,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
17,74.0,45.256533709731734,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
18,65.0,49.60579986311825,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
19,74.0,45.7311028737695,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
20,65.0,49.53133804480725,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
21,74.0,45.713675082168706,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
22,65.0,49.80451558727568,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
23,74.0,45.84128047855727,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
24,65.0,49.26570845837881,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
25,74.0,45.71517264814927,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
26,65.0,49.23225357508079,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
27,74.0,45.70734253135422,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
28,40.0,48.460188154746376,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
29,51.0,44.58894661376692,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
30,40.0,47.776060230198404,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
31,51.0,43.958675344465725,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
32,40.0,48.52406298467193,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
33,51.0,44.60389652030599,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
34,40.0,48.52406298467193,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
35,51.0,44.60389652030599,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
36,43.0,48.35404281528083,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
37,34.0,44.71054321872509,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
38,43.0,48.403477907528455,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
39,34.0,44.91311804850099,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
40,43.0,48.6767219342445,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
41,34.0,45.16807536848173,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
42,43.0,48.88023709313667,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
43,34.0,45.279376281164154,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
44,43.0,48.916440497739956,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
45,34.0,45.41518605243368,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
46,43.0,48.67286918495202,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
47,34.0,45.358178176780285,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
48,43.0,48.822888858211336,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
49,34.0,45.329622105925694,abcd-ml,fbminpa,scale,daily,7,s014,41284804,49,out/abcd-ml_fbminpa_scale_daily_7_s014_41284804_49.pkl
