,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,54.0,48.717852208377195,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
1,46.0,45.01361465737311,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
2,39.0,46.93767592898506,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
3,46.0,44.124626359597066,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
4,34.0,47.32837091009911,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
5,34.0,44.128952676190025,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
6,58.0,47.94632418002782,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
7,56.0,44.66026926198491,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
8,58.0,47.642308327660025,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
9,56.0,44.43283691334066,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
10,46.0,48.71055541325634,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
11,51.0,45.38484220166315,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
12,61.0,48.34842963019655,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
13,53.0,45.28141696185206,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
14,39.0,47.35889148570551,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
15,34.0,44.28700709382933,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
16,34.0,47.71101056574558,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
17,34.0,44.09174925026607,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
18,52.0,47.094666514889774,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
19,34.0,43.538637426115834,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
20,44.0,46.02943276622753,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
21,46.0,42.64700512303186,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
22,43.0,48.2346308631801,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
23,54.0,45.15441961299085,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
24,65.0,48.75969744066448,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
25,52.0,45.40036078445649,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
26,56.0,48.68712184398632,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
27,49.0,45.337724593969945,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
28,54.0,48.998684473690815,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
29,44.0,45.77694905192894,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
30,43.0,47.02698177719642,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
31,40.0,44.00077320108453,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
32,59.0,48.470462933969145,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
33,55.0,45.03613737426754,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
34,64.0,48.90110223942081,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
35,41.0,45.58056219255534,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
36,41.0,46.94225160489465,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
37,54.0,44.125416595608996,abcd-ml,fbminpa,scale,id,0,s007,41284804,71,out/abcd-ml_fbminpa_scale_id_0_s007_41284804_71.pkl
