,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,57.0,47.165142600700136,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
1,44.0,44.14122244029749,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
2,57.0,47.23150360885511,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
3,44.0,44.02527297792678,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
4,57.0,46.85647469558107,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
5,44.0,43.821040225254876,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
6,34.0,49.39215250654998,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
7,46.0,46.10128881067219,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
8,34.0,49.73222588804197,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
9,46.0,46.363382931940414,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
10,34.0,49.222742862451604,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
11,46.0,45.985305249627004,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
12,34.0,47.774312477259066,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
13,34.0,44.180127227075104,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
14,34.0,47.724237439876156,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
15,34.0,44.319651976695695,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
16,34.0,47.802004075372516,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
17,34.0,44.16687230482831,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
18,39.0,48.47157702438809,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
19,44.0,44.50759990206484,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
20,39.0,48.43273915931284,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
21,44.0,44.67288140500618,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
22,39.0,48.7247985541058,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
23,44.0,44.85679183549683,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
24,60.0,49.08005579685825,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
25,60.0,45.52548891150588,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
26,60.0,48.67007157762911,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
27,60.0,45.33404718255973,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
28,60.0,48.495782041753884,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
29,60.0,45.067517435026815,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
30,50.0,47.87919588396137,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
31,48.0,43.916403476361516,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
32,50.0,47.55861788970744,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
33,48.0,43.640530979785616,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
34,50.0,48.06465954819279,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
35,48.0,44.09350614381514,abcd-ml,fbminpa,scale,weekly,3,s019,41284804,66,out/abcd-ml_fbminpa_scale_weekly_3_s019_41284804_66.pkl
