,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,34.0,45.29766698806644,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
1,34.0,45.969675934505936,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
2,34.0,46.0988923322131,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
3,34.0,45.338756260779505,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
4,34.0,45.63027359912462,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
5,34.0,45.169116190159905,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
6,37.0,44.41263645242017,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
7,37.0,44.24161464732993,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
8,37.0,44.40334408399795,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
9,37.0,44.32417313636718,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
10,37.0,43.54706383343731,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
11,37.0,43.592815331841265,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
12,37.0,43.56601283730485,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
13,37.0,43.789081600179244,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
14,37.0,43.993249393099155,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
15,37.0,44.052733556087176,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
16,37.0,43.31858018755193,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
17,37.0,43.54753959049066,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
18,37.0,43.53770915695855,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
19,37.0,43.28045603189271,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
20,37.0,43.36935000160028,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
21,37.0,43.388048625981625,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
22,37.0,43.49268885534609,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
23,37.0,43.030998405466484,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
24,37.0,44.31989085642051,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
25,37.0,43.60174797068787,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
26,47.0,45.35185586354723,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
27,47.0,45.66876393803119,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
28,47.0,45.933543412610746,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
29,47.0,45.60939126475941,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
30,47.0,46.21510347787423,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
31,47.0,46.4111813411491,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
32,47.0,46.16980490044523,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
33,47.0,46.24319282549567,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
34,47.0,44.45883314964129,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
35,47.0,46.411217237816,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
36,47.0,46.27816845338829,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
37,47.0,46.275110524503376,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
38,47.0,46.13131330931766,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
39,47.0,46.038342280935794,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
40,47.0,45.71538247362342,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
41,47.0,45.626808919180235,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
42,47.0,45.70834560727548,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
43,47.0,45.424471398928404,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
44,47.0,45.41223472030538,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
45,47.0,45.38907649046796,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
46,45.0,46.15991852465901,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
47,45.0,45.1897644233494,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
48,45.0,45.67417937875199,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
49,45.0,45.65993779077685,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
50,45.0,45.69046974520444,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
51,45.0,45.38557446837633,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
52,45.0,46.216752655716746,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
53,45.0,45.63151464331837,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
54,45.0,45.51551019739911,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
55,45.0,46.03621884168783,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
56,45.0,45.98506515894407,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
57,45.0,45.60312641852348,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
58,45.0,45.6837142112455,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
59,45.0,45.57279088290504,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
60,45.0,45.5286593749861,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
61,45.0,45.28808565942821,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
62,45.0,45.01677803652167,abcd-ml,pa,overall,daily,21,s013,41284804,75,out/abcd-ml_pa_overall_daily_21_s013_41284804_75.pkl
