,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,34.0,45.91611711217313,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
1,52.0,45.11832873558542,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
2,58.0,44.97496988793809,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
3,58.0,44.92125162972622,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
4,54.0,43.39821412167479,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
5,47.0,46.23332257364763,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
6,44.0,42.17169152606671,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
7,60.0,45.85847899103217,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
8,24.0,47.62510080527636,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
9,47.0,47.69876210836259,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
10,45.0,45.68311176314761,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
11,46.0,47.321093632085436,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
12,49.0,46.311656393170004,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
13,49.0,44.0450906614721,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
14,24.0,46.81085244487416,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
15,47.0,43.64402691829393,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
16,63.0,45.15831569330065,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
17,45.0,43.18973682082417,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
18,51.0,44.829509586428934,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
19,62.0,43.47965028553318,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
20,53.0,45.793732515167605,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
21,31.0,46.72963760805834,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
22,44.0,43.005706713702835,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
23,29.0,45.41190609441222,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
24,38.0,46.05527412916712,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
25,51.0,46.333607740902764,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
26,53.0,42.42800056367343,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
27,49.0,41.08807715535506,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
28,34.0,45.01028516240325,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
29,48.0,43.72904192773578,abcd-ml,pa,overall,weekly,1,s007,41284804,88,out/abcd-ml_pa_overall_weekly_1_s007_41284804_88.pkl
