,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,57.0,46.225928120146875,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
1,44.0,44.457057559458335,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
2,57.0,46.48330553607345,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
3,44.0,44.79348048616493,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
4,57.0,46.33173894692165,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
5,44.0,44.55726245516836,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
6,57.0,46.647686653119415,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
7,44.0,45.01051699054595,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
8,57.0,46.416981909965415,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
9,44.0,44.79845985617623,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
10,57.0,46.55680767659582,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
11,44.0,45.002672146812,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
12,57.0,46.368527818913584,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
13,44.0,44.66850958652435,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
14,57.0,46.506738172496796,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
15,44.0,44.894738091862415,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
16,57.0,46.49832479696186,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
17,44.0,44.73067808996181,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
18,57.0,46.33256600142335,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
19,44.0,44.58286583589506,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
20,57.0,46.298210398358876,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
21,44.0,44.67215140782355,abcd-ml,pa,scale,daily,14,s018,41284804,38,out/abcd-ml_pa_scale_daily_14_s018_41284804_38.pkl
