,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,66.0,49.417968208013335,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
1,60.0,44.533757040821904,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
2,54.0,46.6504343727607,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
3,40.0,44.70611927548568,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
4,59.0,46.82968667325181,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
5,50.0,45.53341086690483,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
6,59.0,47.80307772561294,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
7,50.0,44.49973917579552,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
8,50.0,48.03845907940368,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
9,34.0,43.53059573980846,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
10,60.0,49.46111107351318,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
11,60.0,45.435214002438634,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
12,39.0,46.9024607844033,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
13,34.0,44.01912567195971,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
14,40.0,46.793795000579266,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
15,51.0,44.36522142666854,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
16,44.0,46.85659854969663,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
17,46.0,43.400572105859986,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
18,34.0,48.99873867847582,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
19,34.0,46.35447447437234,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
20,43.0,49.67962537277259,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
21,54.0,46.42381259208324,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
22,34.0,45.100266675433616,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
23,33.0,45.503522979480216,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
24,34.0,46.93549163100427,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
25,40.0,44.100921609818805,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
26,40.0,47.506371728367725,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
27,34.0,44.317585525041004,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
28,53.0,46.69981673479417,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
29,54.0,44.747684169427004,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
30,50.0,47.61659905772042,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
31,34.0,42.84185938610172,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
32,33.0,48.40891068321389,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
33,41.0,44.35821642797754,abcd-ml,pa,scale,weekly,1,s009,41284804,52,out/abcd-ml_pa_scale_weekly_1_s009_41284804_52.pkl
