,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,50.0,53.256735181674046,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
1,50.0,53.18636161227581,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
2,54.0,54.41561682876412,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
3,50.0,52.977416218132944,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
4,50.0,53.793045497286926,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
5,50.0,54.144551622648336,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
6,50.0,52.486327456456735,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
7,50.0,52.771289528711655,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
8,51.0,53.56071974718342,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
9,54.0,53.78503643604945,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
10,53.0,55.014830094985946,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
11,51.0,52.79670196424413,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
12,50.0,54.10831500664856,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
13,51.0,53.742144508806454,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
14,50.0,51.992615615941446,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
15,54.0,52.28251711169575,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
16,62.0,53.732171040254585,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
17,57.0,54.69967382348775,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
18,68.0,55.55755601844283,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
19,54.0,52.971592109930576,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
20,60.0,54.15259282835366,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
21,59.0,53.37285977230954,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
22,50.0,51.943289034302275,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
23,56.0,52.17619413437282,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
24,59.0,52.9130959603383,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
25,58.0,53.371525842073005,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
26,61.0,54.82268030445548,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
27,53.0,52.186262573525596,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
28,54.0,53.58754162473822,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
29,50.0,53.03747540199664,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
30,57.0,51.72363299519623,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
31,57.0,51.97311406386219,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
32,66.0,52.965570756375264,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
33,57.0,53.31681266553416,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
34,70.0,54.71915858605595,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
35,70.0,52.57883675429762,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
36,67.0,53.48008065006839,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
37,59.0,53.39573847794912,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
38,60.0,51.96459101993167,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
39,66.0,52.322968524007486,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
40,51.0,52.81893633857329,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
41,57.0,53.20918861310524,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
42,54.0,54.32501459354347,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
43,63.0,51.90978277388385,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
44,51.0,53.239046380175324,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
45,55.0,52.546473839067424,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
46,50.0,51.55649536024964,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
47,50.0,51.72369850216332,abcd-ml,pa,subscale,weekly,1,s016,41284804,16,out/abcd-ml_pa_subscale_weekly_1_s016_41284804_16.pkl
