,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,58.0,44.67777575550037,abcd-ml,pasleep,overall,daily,7,s011,41284804,79,out/abcd-ml_pasleep_overall_daily_7_s011_41284804_79.pkl
1,58.0,44.36291165912828,abcd-ml,pasleep,overall,daily,7,s011,41284804,79,out/abcd-ml_pasleep_overall_daily_7_s011_41284804_79.pkl
2,58.0,44.985467831831244,abcd-ml,pasleep,overall,daily,7,s011,41284804,79,out/abcd-ml_pasleep_overall_daily_7_s011_41284804_79.pkl
3,58.0,44.75115041467936,abcd-ml,pasleep,overall,daily,7,s011,41284804,79,out/abcd-ml_pasleep_overall_daily_7_s011_41284804_79.pkl
4,48.0,44.40677515341447,abcd-ml,pasleep,overall,daily,7,s011,41284804,79,out/abcd-ml_pasleep_overall_daily_7_s011_41284804_79.pkl
5,48.0,44.192445250260505,abcd-ml,pasleep,overall,daily,7,s011,41284804,79,out/abcd-ml_pasleep_overall_daily_7_s011_41284804_79.pkl
6,48.0,44.55491003866376,abcd-ml,pasleep,overall,daily,7,s011,41284804,79,out/abcd-ml_pasleep_overall_daily_7_s011_41284804_79.pkl
7,48.0,44.25373958827565,abcd-ml,pasleep,overall,daily,7,s011,41284804,79,out/abcd-ml_pasleep_overall_daily_7_s011_41284804_79.pkl
8,48.0,44.664306794135456,abcd-ml,pasleep,overall,daily,7,s011,41284804,79,out/abcd-ml_pasleep_overall_daily_7_s011_41284804_79.pkl
9,48.0,44.654238708848396,abcd-ml,pasleep,overall,daily,7,s011,41284804,79,out/abcd-ml_pasleep_overall_daily_7_s011_41284804_79.pkl
10,48.0,44.53885834460496,abcd-ml,pasleep,overall,daily,7,s011,41284804,79,out/abcd-ml_pasleep_overall_daily_7_s011_41284804_79.pkl
11,37.0,44.62882766279927,abcd-ml,pasleep,overall,daily,7,s011,41284804,79,out/abcd-ml_pasleep_overall_daily_7_s011_41284804_79.pkl
12,37.0,44.71583281458901,abcd-ml,pasleep,overall,daily,7,s011,41284804,79,out/abcd-ml_pasleep_overall_daily_7_s011_41284804_79.pkl
13,37.0,44.66009878516873,abcd-ml,pasleep,overall,daily,7,s011,41284804,79,out/abcd-ml_pasleep_overall_daily_7_s011_41284804_79.pkl
14,37.0,44.690275967230264,abcd-ml,pasleep,overall,daily,7,s011,41284804,79,out/abcd-ml_pasleep_overall_daily_7_s011_41284804_79.pkl
15,37.0,44.85441903687974,abcd-ml,pasleep,overall,daily,7,s011,41284804,79,out/abcd-ml_pasleep_overall_daily_7_s011_41284804_79.pkl
