,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,52.0,43.917684533019454,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
1,52.0,43.89449593799455,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
2,52.0,43.94570213993767,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
3,52.0,44.110217974613775,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
4,52.0,44.149720742221476,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
5,44.0,44.85066219615873,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
6,44.0,44.90639821746766,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
7,44.0,44.74499087955993,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
8,44.0,44.82640440660181,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
9,44.0,44.999737961830846,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
10,58.0,45.68310274604178,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
11,58.0,44.81477634164233,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
12,58.0,44.82465096042215,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
13,58.0,44.84297812783211,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
14,58.0,45.22704864481353,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
15,58.0,45.276971222247624,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
16,47.0,44.70721914444741,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
17,47.0,44.776865472209,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
18,47.0,44.71044740741068,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
19,47.0,44.76998758957465,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
20,47.0,44.798178840095574,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
21,47.0,44.84728044684441,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
22,48.0,44.74776361143971,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
23,48.0,45.074811106063265,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
24,48.0,45.035440259480694,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
25,48.0,45.118565874664526,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
26,48.0,45.1476954526577,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
27,58.0,44.743813182967976,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
28,58.0,44.54002527187151,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
29,58.0,44.5623937002827,abcd-ml,pasleep,overall,weekly,3,s007,41284804,96,out/abcd-ml_pasleep_overall_weekly_3_s007_41284804_96.pkl
