,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,43.0,47.79322481022892,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
1,44.0,44.32894568994598,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
2,43.0,47.85754693491392,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
3,44.0,44.341141025137546,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
4,43.0,47.74225358219235,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
5,44.0,44.449481485441865,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
6,50.0,47.76546324933676,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
7,34.0,44.48592227732516,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
8,50.0,47.81046060742555,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
9,34.0,44.44956865618462,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
10,50.0,47.75385143995698,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
11,34.0,44.46298063809721,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
12,50.0,47.787455482710264,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
13,34.0,44.45228254452734,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
14,50.0,47.8154371387042,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
15,51.0,44.47441417078649,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
16,50.0,48.232147456906816,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
17,51.0,44.52156555668492,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
18,50.0,48.19671196147687,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
19,51.0,44.589420881205974,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
20,39.0,48.362781839913005,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
21,44.0,44.65409764979373,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
22,39.0,48.44169009338634,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
23,44.0,44.5430824107344,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
24,39.0,48.150450500116094,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
25,44.0,44.49329402961544,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
26,39.0,48.0729493995844,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
27,44.0,44.624069299220054,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
28,46.0,47.717436410460365,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
29,51.0,44.33427826004259,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
30,46.0,47.62843287040826,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
31,51.0,44.42362551577769,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
32,46.0,48.80502787770003,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
33,51.0,44.61562615125966,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
34,34.0,48.155554745000266,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
35,34.0,44.20061851177711,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
36,34.0,47.94960799766769,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
37,34.0,44.48767308031105,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
38,34.0,48.14902937259879,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
39,34.0,44.30751661580752,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
40,34.0,47.96388864433446,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
41,34.0,44.479308546118986,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
42,43.0,47.56095887732255,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
43,54.0,44.53013052211449,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
44,43.0,47.696279087093345,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
45,54.0,44.42194302954236,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
46,43.0,47.587559931604545,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
47,54.0,44.65876678031486,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
48,43.0,47.75144554888864,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
49,54.0,44.40972956078855,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
50,50.0,47.56334677498157,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
51,49.0,44.28184063860314,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
52,50.0,47.44678022377186,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
53,49.0,44.40525271337921,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
54,50.0,47.56841208021163,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
55,49.0,44.2782660337747,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
56,50.0,47.445353648189894,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
57,49.0,44.40764393377251,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
58,54.0,47.46189288981303,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
59,43.0,44.23976327444865,abcd-ml,pasleep,scale,weekly,2,s007,41284804,59,out/abcd-ml_pasleep_scale_weekly_2_s007_41284804_59.pkl
