,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,48.0,44.57363793520085,abcd-ml,sleep,overall,daily,21,s019,41284804,78,out/abcd-ml_sleep_overall_daily_21_s019_41284804_78.pkl
1,48.0,44.57363793520085,abcd-ml,sleep,overall,daily,21,s019,41284804,78,out/abcd-ml_sleep_overall_daily_21_s019_41284804_78.pkl
2,48.0,44.57363793520085,abcd-ml,sleep,overall,daily,21,s019,41284804,78,out/abcd-ml_sleep_overall_daily_21_s019_41284804_78.pkl
3,48.0,44.57363793520085,abcd-ml,sleep,overall,daily,21,s019,41284804,78,out/abcd-ml_sleep_overall_daily_21_s019_41284804_78.pkl
4,48.0,44.57363793520085,abcd-ml,sleep,overall,daily,21,s019,41284804,78,out/abcd-ml_sleep_overall_daily_21_s019_41284804_78.pkl
5,48.0,44.57363793520085,abcd-ml,sleep,overall,daily,21,s019,41284804,78,out/abcd-ml_sleep_overall_daily_21_s019_41284804_78.pkl
6,48.0,44.57363793520085,abcd-ml,sleep,overall,daily,21,s019,41284804,78,out/abcd-ml_sleep_overall_daily_21_s019_41284804_78.pkl
7,48.0,44.57363793520085,abcd-ml,sleep,overall,daily,21,s019,41284804,78,out/abcd-ml_sleep_overall_daily_21_s019_41284804_78.pkl
8,48.0,44.57363793520085,abcd-ml,sleep,overall,daily,21,s019,41284804,78,out/abcd-ml_sleep_overall_daily_21_s019_41284804_78.pkl
9,48.0,44.57363793520085,abcd-ml,sleep,overall,daily,21,s019,41284804,78,out/abcd-ml_sleep_overall_daily_21_s019_41284804_78.pkl
10,48.0,44.57363793520085,abcd-ml,sleep,overall,daily,21,s019,41284804,78,out/abcd-ml_sleep_overall_daily_21_s019_41284804_78.pkl
11,48.0,44.57363793520085,abcd-ml,sleep,overall,daily,21,s019,41284804,78,out/abcd-ml_sleep_overall_daily_21_s019_41284804_78.pkl
12,48.0,44.57363793520085,abcd-ml,sleep,overall,daily,21,s019,41284804,78,out/abcd-ml_sleep_overall_daily_21_s019_41284804_78.pkl
13,48.0,44.57363793520085,abcd-ml,sleep,overall,daily,21,s019,41284804,78,out/abcd-ml_sleep_overall_daily_21_s019_41284804_78.pkl
14,48.0,44.57363793520085,abcd-ml,sleep,overall,daily,21,s019,41284804,78,out/abcd-ml_sleep_overall_daily_21_s019_41284804_78.pkl
