,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,45.0,44.66810344827586,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
1,45.0,44.668103448275865,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
2,48.0,44.66810344827586,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
3,48.0,44.668103448275865,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
4,57.0,44.668103448275865,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
5,57.0,44.668103448275865,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
6,47.0,44.668103448275865,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
7,47.0,44.668103448275865,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
8,24.0,44.668103448275865,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
9,24.0,44.668103448275865,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
10,26.0,44.66810344827586,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
11,26.0,44.668103448275865,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
12,54.0,44.668103448275865,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
13,54.0,44.668103448275865,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
14,48.0,44.668103448275865,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
15,48.0,44.668103448275865,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
16,53.0,44.66810344827586,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
17,53.0,44.668103448275865,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
18,53.0,44.668103448275865,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
19,53.0,44.668103448275865,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
20,57.0,44.66810344827586,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
21,57.0,44.668103448275865,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
22,45.0,44.668103448275865,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
23,45.0,44.668103448275865,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
24,49.0,44.66810344827586,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
25,49.0,44.668103448275865,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
26,42.0,44.66810344827586,abcd-ml,sleep,overall,id,0,s016,41284804,104,out/abcd-ml_sleep_overall_id_0_s016_41284804_104.pkl
