,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,58.0,44.89827411167513,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
1,67.0,44.89827411167513,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
2,67.0,44.89827411167513,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
3,44.0,44.898274111675136,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
4,47.0,44.898274111675114,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
5,47.0,44.89827411167513,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
6,61.0,44.89827411167513,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
7,31.0,44.898274111675136,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
8,67.0,44.898274111675136,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
9,67.0,44.89827411167513,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
10,46.0,44.898274111675136,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
11,46.0,44.89827411167513,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
12,53.0,44.89827411167512,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
13,53.0,44.89827411167513,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
14,35.0,44.898274111675136,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
15,42.0,44.89827411167513,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
16,48.0,44.898274111675136,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
17,64.0,44.898274111675136,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
18,64.0,44.89827411167513,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
19,24.0,44.89827411167513,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
20,24.0,44.89827411167513,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
21,24.0,44.89827411167512,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
22,24.0,44.89827411167513,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
23,45.0,44.898274111675136,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
24,45.0,44.89827411167513,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
25,42.0,44.898274111675136,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
26,42.0,44.89827411167513,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
27,65.0,44.89827411167513,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
28,65.0,44.89827411167513,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
29,45.0,44.89827411167513,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
30,45.0,44.89827411167513,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
31,51.0,44.89827411167512,abcd-ml,sleep,overall,weekly,1,s014,41284804,91,out/abcd-ml_sleep_overall_weekly_1_s014_41284804_91.pkl
