,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,54.0,47.82157385705434,abcd-ml,sleep,scale,daily,14,s001,41284804,41,out/abcd-ml_sleep_scale_daily_14_s001_41284804_41.pkl
1,40.0,44.34747703332525,abcd-ml,sleep,scale,daily,14,s001,41284804,41,out/abcd-ml_sleep_scale_daily_14_s001_41284804_41.pkl
2,54.0,47.82157385705434,abcd-ml,sleep,scale,daily,14,s001,41284804,41,out/abcd-ml_sleep_scale_daily_14_s001_41284804_41.pkl
3,40.0,44.34747703332525,abcd-ml,sleep,scale,daily,14,s001,41284804,41,out/abcd-ml_sleep_scale_daily_14_s001_41284804_41.pkl
4,54.0,47.82157385705434,abcd-ml,sleep,scale,daily,14,s001,41284804,41,out/abcd-ml_sleep_scale_daily_14_s001_41284804_41.pkl
5,40.0,44.34747703332525,abcd-ml,sleep,scale,daily,14,s001,41284804,41,out/abcd-ml_sleep_scale_daily_14_s001_41284804_41.pkl
6,54.0,47.82157385705434,abcd-ml,sleep,scale,daily,14,s001,41284804,41,out/abcd-ml_sleep_scale_daily_14_s001_41284804_41.pkl
7,40.0,44.34747703332525,abcd-ml,sleep,scale,daily,14,s001,41284804,41,out/abcd-ml_sleep_scale_daily_14_s001_41284804_41.pkl
8,54.0,47.82157385705434,abcd-ml,sleep,scale,daily,14,s001,41284804,41,out/abcd-ml_sleep_scale_daily_14_s001_41284804_41.pkl
9,40.0,44.34747703332525,abcd-ml,sleep,scale,daily,14,s001,41284804,41,out/abcd-ml_sleep_scale_daily_14_s001_41284804_41.pkl
10,54.0,47.82157385705434,abcd-ml,sleep,scale,daily,14,s001,41284804,41,out/abcd-ml_sleep_scale_daily_14_s001_41284804_41.pkl
11,40.0,44.34747703332525,abcd-ml,sleep,scale,daily,14,s001,41284804,41,out/abcd-ml_sleep_scale_daily_14_s001_41284804_41.pkl
12,54.0,47.82157385705434,abcd-ml,sleep,scale,daily,14,s001,41284804,41,out/abcd-ml_sleep_scale_daily_14_s001_41284804_41.pkl
13,40.0,44.34747703332525,abcd-ml,sleep,scale,daily,14,s001,41284804,41,out/abcd-ml_sleep_scale_daily_14_s001_41284804_41.pkl
14,54.0,47.82157385705434,abcd-ml,sleep,scale,daily,14,s001,41284804,41,out/abcd-ml_sleep_scale_daily_14_s001_41284804_41.pkl
15,40.0,44.34747703332525,abcd-ml,sleep,scale,daily,14,s001,41284804,41,out/abcd-ml_sleep_scale_daily_14_s001_41284804_41.pkl
