,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,54.0,47.93903974105377,abcd-ml,sleep,scale,id,0,s002,41284804,68,out/abcd-ml_sleep_scale_id_0_s002_41284804_68.pkl
1,40.0,44.455673440028775,abcd-ml,sleep,scale,id,0,s002,41284804,68,out/abcd-ml_sleep_scale_id_0_s002_41284804_68.pkl
2,54.0,47.93903974105377,abcd-ml,sleep,scale,id,0,s002,41284804,68,out/abcd-ml_sleep_scale_id_0_s002_41284804_68.pkl
3,40.0,44.455673440028775,abcd-ml,sleep,scale,id,0,s002,41284804,68,out/abcd-ml_sleep_scale_id_0_s002_41284804_68.pkl
4,43.0,47.93903974105377,abcd-ml,sleep,scale,id,0,s002,41284804,68,out/abcd-ml_sleep_scale_id_0_s002_41284804_68.pkl
5,74.0,44.455673440028775,abcd-ml,sleep,scale,id,0,s002,41284804,68,out/abcd-ml_sleep_scale_id_0_s002_41284804_68.pkl
6,43.0,47.93903974105377,abcd-ml,sleep,scale,id,0,s002,41284804,68,out/abcd-ml_sleep_scale_id_0_s002_41284804_68.pkl
7,74.0,44.455673440028775,abcd-ml,sleep,scale,id,0,s002,41284804,68,out/abcd-ml_sleep_scale_id_0_s002_41284804_68.pkl
8,39.0,47.93903974105377,abcd-ml,sleep,scale,id,0,s002,41284804,68,out/abcd-ml_sleep_scale_id_0_s002_41284804_68.pkl
9,44.0,44.455673440028775,abcd-ml,sleep,scale,id,0,s002,41284804,68,out/abcd-ml_sleep_scale_id_0_s002_41284804_68.pkl
10,39.0,47.93903974105377,abcd-ml,sleep,scale,id,0,s002,41284804,68,out/abcd-ml_sleep_scale_id_0_s002_41284804_68.pkl
11,44.0,44.455673440028775,abcd-ml,sleep,scale,id,0,s002,41284804,68,out/abcd-ml_sleep_scale_id_0_s002_41284804_68.pkl
12,46.0,47.93903974105377,abcd-ml,sleep,scale,id,0,s002,41284804,68,out/abcd-ml_sleep_scale_id_0_s002_41284804_68.pkl
13,51.0,44.455673440028775,abcd-ml,sleep,scale,id,0,s002,41284804,68,out/abcd-ml_sleep_scale_id_0_s002_41284804_68.pkl
