,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,43.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
1,74.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
2,43.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
3,74.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
4,39.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
5,44.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
6,39.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
7,44.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
8,39.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
9,44.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
10,39.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
11,44.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
12,60.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
13,60.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
14,60.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
15,60.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
16,60.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
17,60.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
18,65.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
19,74.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
20,65.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
21,74.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
22,65.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
23,74.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
24,65.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
25,74.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
26,34.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
27,34.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
28,34.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
29,34.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
30,34.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
31,34.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
32,34.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
33,34.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
34,41.0,47.730127677100484,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
35,33.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
36,41.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
37,33.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
38,41.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
39,33.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
40,68.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
41,58.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
42,68.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
43,58.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
44,68.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
45,58.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
46,68.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
47,58.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
48,34.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
49,34.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
50,34.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
51,34.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
52,34.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
53,34.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
54,34.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
55,34.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
56,34.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
57,40.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
58,34.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
59,40.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
60,34.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
61,40.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
62,50.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
63,49.0,44.3255766062603,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
64,50.0,47.73012767710049,abcd-ml,sleep,scale,weekly,2,s019,41284804,56,out/abcd-ml_sleep_scale_weekly_2_s019_41284804_56.pkl
