,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,60.0,53.19302568022291,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
1,57.0,53.50137812285345,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
2,54.0,54.639785224727035,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
3,61.0,52.57351295618122,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
4,51.0,53.55727504720717,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
5,57.0,53.48208803290315,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
6,54.0,52.02785540269952,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
7,57.0,52.33009675814358,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
8,60.0,53.149820143884895,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
9,57.0,53.46474820143885,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
10,54.0,54.60863309352518,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
11,61.0,52.54226618705036,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
12,51.0,53.55467625899281,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
13,57.0,53.46402877697842,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
14,54.0,52.03938848920863,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
15,57.0,52.32104316546763,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
16,51.0,53.12520526809042,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
17,54.0,53.443879557122614,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
18,53.0,54.59088523265727,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
19,51.0,52.524464407787356,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
20,50.0,53.553195688555,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
21,51.0,53.4537401319703,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
22,50.0,52.04595906938116,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
23,54.0,52.315885191047236,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
24,51.0,53.149820143884895,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
25,54.0,53.46474820143885,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
26,53.0,54.60863309352518,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
27,51.0,52.54226618705036,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
28,50.0,53.55467625899281,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
29,51.0,53.46402877697842,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
30,50.0,52.03938848920863,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
31,54.0,52.32104316546763,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
32,50.0,53.09244979425275,abcd-ml,sleep,subscale,id,0,s015,41284804,32,out/abcd-ml_sleep_subscale_id_0_s015_41284804_32.pkl
