,Y_test,Y_pred_test,script,predictors,outcome,summary,time,cv_iter,slurmid,arrayid,fn
0,50.0,53.22295623451693,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
1,53.0,53.43590008257638,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
2,58.0,54.59042113955409,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
3,51.0,52.532204789430224,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
4,50.0,53.58071841453344,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
5,55.0,53.486581337737405,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
6,50.0,52.05625516102395,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
7,50.0,52.332060280759706,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
8,50.0,53.22295623451693,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
9,53.0,53.43590008257638,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
10,58.0,54.59042113955409,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
11,51.0,52.532204789430224,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
12,50.0,53.58071841453344,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
13,55.0,53.486581337737405,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
14,50.0,52.05625516102395,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
15,50.0,52.332060280759706,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
16,50.0,53.22295623451693,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
17,53.0,53.43590008257638,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
18,58.0,54.59042113955409,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
19,51.0,52.532204789430224,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
20,50.0,53.58071841453344,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
21,55.0,53.486581337737405,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
22,50.0,52.05625516102395,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
23,50.0,52.332060280759706,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
24,50.0,53.22295623451693,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
25,53.0,53.43590008257638,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
26,58.0,54.59042113955409,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
27,51.0,52.532204789430224,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
28,50.0,53.58071841453344,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
29,55.0,53.486581337737405,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
30,50.0,52.05625516102395,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
31,50.0,52.332060280759706,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
32,51.0,53.22295623451693,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
33,50.0,53.43590008257638,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
34,53.0,54.59042113955409,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
35,50.0,52.532204789430224,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
36,50.0,53.58071841453344,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
37,53.0,53.486581337737405,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
38,55.0,52.05625516102395,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
39,51.0,52.332060280759706,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
40,51.0,53.22295623451693,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
41,50.0,53.43590008257638,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
42,53.0,54.59042113955409,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
43,50.0,52.532204789430224,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
44,50.0,53.58071841453344,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
45,53.0,53.486581337737405,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
46,55.0,52.05625516102395,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
47,51.0,52.332060280759706,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
48,51.0,53.22295623451693,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
49,50.0,53.43590008257638,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
50,53.0,54.59042113955409,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
51,50.0,52.532204789430224,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
52,50.0,53.58071841453344,abcd-ml,sleep,subscale,weekly,2,s011,41284804,20,out/abcd-ml_sleep_subscale_weekly_2_s011_41284804_20.pkl
